confidence,rationale,author,place_id,rating,accommodation_quality,adventure_level,beach_quality,cost_level,cultural_richness,family_friendliness,food_variety,historical_significance,mountain_terrain,natural_scenery,nightlife_intensity,relaxation_level,safety,transportation_accessibility,urban_vibrancy
0.8,"The natural scenery is described as pristine and beautiful, indicating a high score. Adventure level is moderate due to activities like ice skating. Family friendliness and cultural richness are uncertain, leading to a score of 0.5. Food variety is limited due to closed establishments, hence a lower score. Safety and relaxation levels are perceived positively.",Никита,0,5,0.5,0.7,0.5,0.5,0.5,0.5,0.3,0.5,0.6,0.9,0.2,0.8,0.8,0.5,0.2
0.8,"The text indicates good organization and logistics but mentions cold weather, suggesting a winter setting with limited outdoor activities. Most features are rated as unknown due to lack of specific information.",Юлия,1,5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5
0.8,"The text indicates a balanced mix of activities and relaxation, suggesting a moderate adventure level and good natural scenery. However, it lacks specific details on cultural richness, nightlife, and accommodation quality.",Екатерина,2,5,0.5,0.7,0.0,0.5,0.5,0.5,0.5,0.0,0.8,0.9,0.0,0.6,0.5,0.5,0.5
0.8,"The text emphasizes the scenic beauty of Baikal and the positive experiences of the author, suggesting high natural scenery. Other features are less clear, leading to a default score of 0.5.",Сергей,3,5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5
0.9,"The text highlights the stunning natural scenery and adventure opportunities in the Caucasus region, particularly with activities like hiking and visiting thermal springs. Accommodation quality is noted as good, but with some comfort issues. Cultural richness is present through excursions and knowledgeable guides. Family-friendliness is implied through the overall positive experience. Mountain terrain is prominent, and safety is perceived as high. Nightlife and food variety are less emphasized, leading to moderate scores.",Светлана Жукова,4,5,0.7,0.9,0.0,0.5,0.6,0.7,0.5,0.5,1.0,1.0,0.4,0.6,0.8,0.6,0.5
0.8,"The text mentions a wonderful tour and impressive locations, suggesting a moderate level of adventure and cultural richness, but lacks specific details on many features.",Михаил,5,5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5
0.7,"The text mentions enjoyment of the places along the route, indicating some level of natural scenery and adventure, but lacks specific details on many features.",София,6,5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0
0.9,"The text emphasizes the mountainous terrain and scenic beauty, indicating high natural scenery and mountain terrain scores. Accommodation is described as well-equipped and conveniently located, suggesting good quality. The presence of interesting historical and cultural insights from guides indicates cultural richness. Food variety is highlighted as tasty and generous. Adventure level is inferred from the nature of the tour, while family-friendliness and safety are moderately addressed. Nightlife is mentioned but not emphasized, leading to a lower score.",Владислав,7,5,0.8,0.7,0.0,0.5,0.7,0.6,0.8,0.7,0.9,0.9,0.5,0.6,0.7,0.8,0.6
0.8,"The text emphasizes an engaging journey with a strong focus on historical events, indicating high cultural richness and historical significance. Other features are less clear, leading to more neutral or unknown values.",Светлана,8,5,0.5,0.5,0.0,0.5,0.8,0.5,0.5,0.9,0.0,0.5,0.0,0.5,0.5,0.5,0.5
0.95,"The text highlights the professionalism of the guide, the beauty of the natural scenery, and the safety of the experience, indicating high adventure and relaxation levels. However, it lacks information on nightlife and beach quality, leading to lower scores in those areas.",Карасев Андрей Владимирович,9,5,0.8,0.9,0.0,0.5,0.7,0.6,0.5,0.6,1.0,1.0,0.0,0.9,0.9,0.8,0.2
0.7,"The text indicates a positive experience in a city, suggesting some level of cultural richness and urban vibrancy, but lacks specific details to confidently assess other features.",Лариса,10,5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5
0.7,"The text does not provide specific details about the features, leading to many unknowns. However, it suggests a positive experience, indicating moderate levels for most features.",Кирилл,11,5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5
0.95,"The location offers a cozy hotel with high-quality accommodation and diverse food options, making it family-friendly. The cultural richness is evident through historical tours and activities related to Ded Moroz. Adventure activities are available, but there are no beaches or nightlife. The natural scenery is picturesque, especially with snow. Overall, the place is safe and accessible.",Ольга,12,5,0.9,0.7,0.0,0.5,0.8,0.9,0.9,0.7,0.0,0.8,0.0,0.8,0.8,0.8,0.6
0.9,"The text describes a pleasant stay with good accommodation, beautiful natural scenery, and various outdoor activities, indicating high scores in those areas. However, it lacks information on nightlife and cultural richness, leading to moderate scores.",Марина,13,5,0.8,0.7,0.0,0.5,0.5,0.7,0.8,0.5,0.9,0.9,0.3,0.8,0.7,0.5,0.4
